Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Prediction
14723,1752621,15,4,-1,4,1,109
3719,1752621,15,4,-2,0,0,81
3719,1752621,15,4,-2,3,1,81
14723,1752621,15,4,-1,4,1,109
3264,1752621,15,4,-2,3,1,81
14723,1752621,15,4,-1,3,1,109
3545,1752621,15,4,-1,0,0,109
3707,1752621,15,4,0,4,0,81
14723,1752621,15,4,-1,4,1,109
15468,1752621,15,4,-2,3,1,81
14723,1752621,15,4,-1,4,1,109
14723,1752621,15,4,-1,3,1,109
14723,1752621,15,4,-1,4,1,109
3595,1758720,15,4,-3,7,1,109
20410,1758720,15,4,0,5,0,81
14894,1758720,15,4,0,5,0,81
3651,1758720,15,4,-3,7,1,109
20410,1758720,15,4,0,5,0,81
15554,1758720,15,4,0,5,0,81
16167,1758720,15,4,-1,0,1,109
16306,1758720,15,4,0,5,0,81
16306,1758720,15,4,0,5,0,81
20410,1758720,15,4,0,5,0,81
15554,1758720,15,4,0,5,0,81
14894,1758720,15,4,0,5,0,81
3412,1758720,15,4,-3,7,1,109
3683,1758720,15,4,0,5,0,81
16306,1758720,15,4,0,5,0,81
3280,1758720,15,4,-2,3,1,81
20410,1758720,15,4,0,5,0,81
16306,1758720,15,4,0,5,0,81
16167,1758720,15,4,-1,0,1,109
16167,1758720,15,4,-1,0,1,109
16167,1758720,15,4,-1,0,1,109
14894,1758720,15,4,0,5,0,81
15164,1758720,15,4,0,5,0,81
3280,1758720,15,4,-2,0,1,81
15554,1758720,15,4,0,5,0,81
20410,1758720,15,4,0,5,0,81
3418,1758720,15,4,0,4,0,2
16306,1758720,15,4,0,5,0,81
20610,1758720,15,3,-1,3,1,81
20610,1758720,15,3,-1,3,1,81
20410,1758720,15,3,0,5,0,81
3568,1759025,15,3,0,6,0,2
3545,1752621,15,3,0,0,0,3
20610,1758720,15,3,-1,0,0,81
15554,1758720,15,3,0,5,0,81
19568,1768790,15,2,0,4,0,2
16167,1758720,15,3,0,0,0,3
16121,1759117,15,3,0,5,0,2
20610,1758720,15,3,-1,3,1,81
20410,1758720,15,3,0,5,0,81
15468,1752621,15,3,-1,3,1,109
3588,1758274,15,3,0,0,0,81
21484,1768790,15,3,0,0,0,3
3673,1759117,15,2,0,3,0,13
20353,1758274,15,3,0,0,0,81
3673,1759117,15,2,0,3,0,13
21619,1768790,15,3,0,0,0,3
3690,1758274,15,3,0,0,0,81
3209,1758274,15,3,0,0,0,81
3209,1758274,15,3,0,0,0,3
14894,1758720,15,3,0,5,0,81
21823,1758274,15,3,0,0,0,81
3690,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,3
3209,1758274,15,3,0,0,0,81
3558,1758274,15,3,0,0,0,81
3545,1752621,15,3,0,0,0,3
20353,1758274,15,3,0,0,0,81
20410,1758720,15,3,0,5,0,81
3289,1752621,15,3,0,4,0,81
20353,1758274,15,3,0,0,0,81
15554,1758720,15,3,0,5,0,81
3690,1758274,15,3,0,0,0,81
3588,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
3545,1752621,15,3,0,4,0,81
20353,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
3280,1758720,15,4,0,4,0,2
15554,1758720,15,3,0,5,0,81
20610,1758720,15,3,-1,0,0,81
3588,1758274,15,3,0,0,0,81
21619,1768790,15,3,0,0,0,3
3209,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
16306,1758720,15,3,0,5,0,81
20353,1758274,15,3,0,0,0,81
3545,1752621,15,3,0,4,0,81
14894,1758720,15,3,0,5,0,81
20610,1758720,15,3,-1,3,1,81
21823,1758274,15,3,0,0,0,81
16306,1758720,15,3,0,5,0,81
3545,1752621,15,3,0,4,0,81
20610,1758720,15,3,-1,0,0,81
3647,1758720,15,3,0,0,0,3
21823,1758274,15,3,0,0,0,81
3690,1758274,15,3,0,0,0,81
20353,1758274,15,3,0,0,0,81
14723,1752621,15,3,0,4,0,2
20610,1758720,15,3,-1,0,0,81
20610,1758720,15,3,-1,3,1,81
21823,1758274,15,3,0,0,0,81
3690,1758274,15,3,0,0,0,81
3303,1758720,15,3,0,3,0,2
3690,1758274,15,3,0,0,0,81
3545,1752621,15,2,0,0,0,3
16306,1758720,15,3,0,5,0,81
20610,1758720,15,3,-1,0,0,81
20610,1758720,15,3,-1,3,1,81
14894,1758720,15,3,0,5,0,81
20353,1758274,15,3,0,0,0,81
3545,1752621,15,3,0,4,0,81
20610,1758720,15,3,-1,3,1,81
20353,1758274,15,3,0,0,0,81
21484,1768790,15,3,0,0,0,3
21619,1768790,15,2,0,0,0,3
21642,1759117,15,2,0,3,0,13
21823,1758274,15,3,0,0,0,81
3280,1758720,15,2,-1,3,1,109
3618,1752621,15,2,0,0,0,3
20610,1758720,15,3,-1,0,0,81
21823,1758274,15,3,0,0,0,81
20353,1758274,15,3,0,0,0,81
3748,1758274,15,3,0,0,0,81
3590,1758720,15,2,0,4,0,35
3280,1758720,15,2,0,4,0,2
21823,1758274,15,3,0,0,0,3
20353,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,3
19610,1768790,15,2,0,4,0,2
20610,1758720,15,3,-1,0,0,81
20610,1758720,15,3,-1,0,0,81
20353,1758274,15,3,0,0,0,81
16306,1758720,15,3,0,5,0,81
3558,1758274,15,3,0,0,0,81
20353,1758274,15,3,0,0,0,81
21619,1768790,15,3,0,0,0,3
21484,1768790,15,3,0,0,0,3
3690,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
20610,1758720,15,3,-1,3,1,81
21823,1758274,15,3,0,0,0,81
21619,1768790,15,3,0,0,0,3
20610,1758720,15,3,-1,3,1,81
3707,1752621,15,3,0,4,0,81
3342,1758274,15,3,0,0,0,81
3209,1758274,15,3,0,0,0,81
3558,1758274,15,3,0,0,0,81
20410,1758720,15,3,0,5,0,81
3690,1758274,15,3,0,0,0,81
3719,1752621,15,3,-1,3,1,109
21823,1758274,15,3,0,0,0,81
20610,1758720,15,3,-1,0,0,81
16167,1758720,15,3,0,0,0,3
21823,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
3408,1758720,15,2,0,4,0,2
20353,1758274,15,3,0,0,0,81
20610,1758720,15,3,-1,3,1,81
14723,1752621,15,3,0,5,0,2
21484,1768790,15,3,0,0,0,3
21823,1758274,15,3,0,0,0,81
21484,1768790,15,3,0,0,0,3
20610,1758720,15,3,-1,0,0,81
16306,1758720,15,3,0,5,0,81
20610,1758720,15,3,-1,0,0,81
21823,1758274,15,3,0,0,0,81
3374,1758274,15,3,0,0,0,3
3721,1759117,15,2,0,3,0,13
20353,1758274,15,3,0,0,0,81
15554,1758720,15,3,0,5,0,81
21642,1759117,15,2,0,3,0,13
3701,1759025,15,2,0,4,0,35
3209,1758274,15,3,0,0,0,81
3558,1758274,15,2,-1,3,1,109
3690,1758274,15,2,0,4,0,35
21823,1758274,15,2,0,4,0,35
20353,1758274,15,4,-1,3,1,109
20353,1758274,15,2,0,4,0,2
21823,1758274,15,2,0,4,0,35
3374,1758274,15,2,0,4,0,35
22692,1758274,15,2,0,4,0,81
3588,1758274,15,2,0,0,0,81
3209,1758274,15,2,0,0,0,81
3690,1758274,15,2,0,0,0,81
3558,1758274,15,2,0,0,0,81
3738,1758274,15,4,-28,-24,1,109
3748,1758274,15,2,0,0,0,81
22337,1759025,15,4,-1,0,0,109
22337,1759025,15,4,-1,0,0,109
3414,1752621,15,1,0,4,0,10
3568,1759025,15,3,0,7,0,27
16545,1758720,16,3,0,4,0,11
16469,1758720,16,3,0,1,0,11
16512,1758720,16,3,0,4,0,11
16472,1758720,16,3,0,3,0,11
20287,1758720,16,3,0,4,0,2
16467,1758720,16,2,0,3,0,20
16469,1758720,16,3,0,4,0,11
16469,1758720,16,3,0,4,0,11
16545,1758720,16,3,0,4,0,11
16469,1758720,16,3,0,4,0,11
16472,1758720,16,3,0,4,0,11
16469,1758720,16,3,0,3,0,11
20064,1758274,16,4,-15,-1,1,13
2652,1758720,2,3,-3,0,0,81
3122,1758720,2,3,0,3,0,81
2226,1752621,2,3,0,2,0,2
2825,1759025,2,3,0,2,0,2
3122,1758720,2,3,0,3,0,81
19236,1768658,16,4,0,0,0,10
16470,1758720,16,4,-1,3,1,109
2825,1759025,2,2,0,2,0,2
2825,1759025,2,2,0,2,0,2
2825,1759025,2,2,0,2,0,2
2825,1759025,2,2,0,2,0,2
2825,1759025,2,4,-3,1,1,109
2652,1758720,2,4,-3,1,1,2
2216,1758720,2,4,-6,4,1,81
3122,1758720,2,4,0,3,0,81
3122,1758720,2,4,0,3,0,81
2652,1758720,2,4,-3,0,1,81
2226,1752621,2,2,0,2,0,2
2010,1752621,5,3,0,2,0,2
21821,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
20351,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
3028,1752621,5,3,0,2,0,2
22334,1759025,5,3,0,1,0,2
2753,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
21821,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2753,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2010,1752621,5,3,0,2,0,2
2512,1752621,5,3,0,2,0,2
1961,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
1961,1758274,5,3,0,0,0,81
2701,1759025,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2699,1752621,5,3,0,2,0,2
3179,1752621,5,3,0,2,0,2
2374,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
20401,1758720,5,3,0,3,0,81
19264,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
3028,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
15467,1752621,5,3,0,2,0,2
2010,1752621,5,3,0,2,0,2
21821,1758274,5,3,0,0,0,81
2753,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
3028,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
21821,1758274,5,3,0,0,0,81
2010,1752621,5,3,0,2,0,2
3179,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2699,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
20351,1758274,5,3,0,0,0,81
2512,1752621,5,3,0,2,0,2
3028,1752621,5,3,0,2,0,2
1961,1758274,5,3,0,0,0,81
2852,1758274,5,3,0,0,0,81
2753,1752621,5,3,0,2,0,2
20351,1758274,5,3,0,0,0,81
2753,1752621,5,3,0,2,0,2
2542,1752621,5,3,0,2,0,2
2010,1752621,5,3,0,2,0,2
2699,1752621,5,3,0,2,0,2
2209,1752621,5,3,0,2,0,2
2699,1752621,5,3,0,2,0,2
15559,1758720,5,3,0,3,0,81
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2699,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2829,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2699,1752621,5,3,0,2,0,2
3179,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
21775,1752621,5,3,0,2,0,2
3028,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
19307,1752621,5,3,0,2,0,2
1955,1752621,5,3,0,2,0,2
2852,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
21821,1758274,5,3,0,0,0,81
20351,1758274,5,3,0,0,0,81
15467,1752621,5,3,0,2,0,2
2007,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
2829,1752621,5,3,0,2,0,2
2699,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2829,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
21483,1768790,5,3,0,0,0,3
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
15467,1752621,5,3,0,2,0,2
